amount,sex,month,day,grade
30.9,female,3,1,3
29.2,name,3,1,2
31,female,3,1,1
,name,4,1,4
31.8,female,5,1,1
27.7,name,5,1,4
28,female,4,1,1
28.1,name,5,1,2
30.6,female,4,1,3
29.8,name,3,1,4
32,female,5,1,1
31.9,name,4,1,3
31.9,female,3,1,4
28.8,name,5,1,4
27.7,female,4,1,2
31.2,name,5,1,2
29.7,female,3,1,1
28.8,name,3,1,3
29.1,female,5,1,2
31.8,name,4,1,4
31.2,female,5,1,3
27.2,name,3,1,2
27,female,5,1,2
27.9,name,5,1,4
27.8,female,3,1,3
29.3,name,3,1,3
29.8,female,5,1,3
31,name,4,1,1
29.1,female,5,1,2
31.5,name,3,1,3
28.1,female,5,1,4
27.5,name,3,1,4
30.2,female,3,1,2
28.3,name,3,1,3
29.1,female,5,1,3
27,name,3,1,2
27.7,female,3,1,1
29.9,name,4,1,3
28.1,female,5,1,4
28,name,4,2,2
30.9,female,5,2,4
27.5,name,5,2,1
31.4,female,5,2,2
27.7,name,3,2,1
31.9,female,3,2,3
30.6,name,5,2,1
31.6,female,3,2,4
27.1,name,3,2,2
27.1,female,4,2,2
29.7,name,3,2,1
29.4,female,5,2,2
27.4,name,4,2,3
30.3,female,3,2,3
28.7,name,4,2,2
27.5,female,3,2,3
29.5,name,4,2,1
31.8,female,5,2,4
31.8,name,3,2,2
29.3,female,5,2,1
31.2,name,5,2,2
30,female,3,2,3
28.3,name,5,2,3
27.3,female,3,2,2
27.5,name,3,2,1
30.8,female,5,2,2
30,name,4,2,1
27.5,female,4,2,4
29.4,name,4,2,1
30.8,female,3,2,2
27.3,,5,2,3
28.5,female,5,2,3
28.7,name,3,2,2
30.8,female,4,2,2
30.9,name,5,2,4
27.4,female,5,2,3
31.4,name,4,2,3
31.9,female,4,2,4
29.2,name,3,2,2
25.9,female,3,2,3
27.3,name,3,2,3
25.5,female,3,2,2
29.8,name,5,2,3
27.3,female,5,2,1
31.1,name,3,2,3
30.2,female,3,2,4
28.2,name,4,2,1
30.7,female,5,2,3
29.9,name,3,2,1
25.5,female,3,2,3
28.9,name,5,3,2
27.1,female,5,3,1
28.3,name,,3,2
28.6,female,3,3,4
28.4,name,4,3,4
26.1,female,4,3,4
27.9,name,3,3,3
29.8,female,3,3,1
30.3,name,3,3,2
27.8,female,3,3,1
28,name,5,3,1
31.1,female,4,3,4
29.6,name,3,3,3
27,female,5,3,4
26.7,name,5,3,1
29.6,female,3,3,1
27.5,name,5,3,4
26.6,female,4,3,1
29.4,name,3,3,3
27.3,female,3,3,2
31.9,name,3,3,2
26.4,female,3,3,1
31.5,name,3,3,3
27.5,female,4,3,3
28.8,name,3,3,4
25.3,female,4,3,4
26.6,name,3,3,2
28.4,female,5,3,4
31.8,name,5,3,3
25.7,female,3,3,2
31.5,name,4,3,
29.5,female,4,3,4
25.2,name,4,3,3
26.3,female,4,3,4
29.1,name,3,3,2
29.2,female,4,3,1
26.6,name,3,3,2
28.9,female,3,3,3
27.5,name,3,3,4
27.2,female,4,3,3
27.9,name,4,3,4
31.2,female,5,3,4
29,name,4,3,4
29.1,female,5,3,4
30.2,name,5,3,4
30.3,female,4,3,1
25.4,name,5,3,4
27.8,female,4,3,1
25.1,name,3,4,1
22.1,female,4,4,3
25.1,name,3,4,2
21.5,female,4,4,4
20,name,3,4,2
26.3,female,3,4,2
28.1,name,3,4,2
26.5,female,3,4,1
27.4,name,4,4,2
27.4,female,5,4,2
23.9,name,3,4,2
26.5,female,3,4,4
28.2,name,5,4,2
26.4,female,3,4,3
29,name,3,4,4
28.8,female,3,4,2
27.1,name,5,4,2
25.7,,5,4,1
24.5,name,5,4,2
26.6,female,3,4,3
27.3,name,5,4,4
28.5,female,5,4,1
27,name,5,4,2
26,female,5,4,1
23.7,name,4,4,3
28.1,female,4,4,2
22.4,name,3,4,2
29.7,female,5,4,2
20.6,name,5,4,1
27.2,female,5,4,2
20.7,name,5,4,1
21.4,female,3,4,3
29.9,name,5,4,2
20.1,female,5,4,1
23.1,name,4,4,4
26.3,female,4,4,2
27.3,name,5,4,1
24.4,female,5,4,3
27.4,name,3,4,4
26.9,female,3,4,2
22.5,name,3,4,4
27.5,female,5,4,3
24.4,name,3,4,3
26.6,female,3,4,3
25.2,name,3,4,4
22.6,female,3,4,2
29.4,name,5,4,4
24.3,female,5,4,1
23.3,name,4,4,1
22.3,female,3,4,4
21.4,name,3,4,4
22.3,female,3,4,3
27.6,name,3,4,4
26.9,female,5,4,1
24.4,name,3,4,1
24.8,female,3,4,1
27.1,name,3,4,2
25.7,female,4,4,4
29,name,4,4,1
20,female,4,5,3
21.8,name,3,5,4
22.5,female,3,5,1
26.3,name,4,5,4
26,female,4,5,1
24.2,name,3,5,1
20.1,female,5,5,3
20.9,name,4,5,1
24.9,female,3,5,1
21.5,name,4,5,1
28.6,female,4,5,2
22,name,3,5,1
20.8,female,4,5,3
25,name,4,5,1
22.2,female,5,5,2
28.4,name,3,5,1
,female,3,5,2
20.2,name,4,5,1
22,female,4,5,1
26.5,name,4,5,3
24,female,3,5,1
21.6,name,5,5,4
20.3,female,3,5,3
25.1,name,3,5,1
28.4,female,4,5,3
24.3,name,4,5,3
25.1,female,4,5,3
21.4,name,3,5,4
24.7,female,5,5,2
20.2,name,5,5,3
29.5,female,5,5,1
29.7,name,3,5,4
27.8,female,3,5,4
23.8,name,4,5,3
